peace,امن
agreement,معاہدہ
treaty,معاہدہ
friendship,دوستی
enemy,دشمن
stranger,اجنبی
guest,مہمان
host,میزبان
journey,سفر
travel,سفر کرنا
tourist,سیاح
guide,رہنما
map,نقشہ
compass,قطب نما
direction,سمت
north,شمال
south,جنوب
east,مشرق
west,مغرب
bridge,پل
tunnel,سرنگ
tower,مینار
castle,قلعہ
palace,محل
garden,باغ
park,پارک
forest,جنگل
jungle,جنگل
desert,صحرا
oasis,نرسری
island,جزیرہ
beach,ساحل
wave,لہر
tide,مدوجزر
volcano,آتش فشاں
earthquake,ززلہ
flood,سیلاب
drought,خالی پن
weather,موسم
climate,آب و ہوا
season,موسم
spring,بہار
summer,گرمی
autumn,خزاں
winter,سردی
sky,آسمان
rainbow,قوس قزح
thunder,گرج
lightning,بجلی
shadow,سایہ
reflection,عکس
echo,گونج
sound,آواز
noise,شور
silence,خاموشی
music,موسیقی
song,گانا
singer,گائیک
instrument,آلہ
dance,رقص
theater,تھیٹر
movie,فلم
actor,اداکار
actress,اداکارہ
stage,اسٹیج
screen,اسکرین
camera,کیمرہ
picture,تصویر
painting,تصویر
statue,مجسمہ
museum,عجائب گھر
library,لائبریری
bookstore,کتابوں کی دکان
publisher,ناشر
author,مصنف
poet,شاعر
poem,نظم
story,کانی
novel,ناول
chapter,باب
page,صفحہ
line,لائن
paragraph,پیراگراف
letter,خط
word,لفظ
sentence,جملہ
grammar,قواعد
spelling,ہجے
dictionary,لغت
translation,ترجمہ
meaning,معنی
definition,تعریف
example,مثال
rule,قاعدہ
exception,استثنیٰ
test,امتحان
exam,امتحان
grade,گریڈ
score,نمبر
result,نتیجہ
success,کامیابی
failure,ناکامی
effort,کوشش
practice,مشق
skill,مہارت
talent,صلاحیت
genius,نخبة
intelligence,ذہانت
wisdom,حکمت
folly,حماقت
logic,منطق
reason,وجہ
cause,وجہ
effect,اثر
result,نتیجہ
purpose,مقصد
goal,مقصد
plan,منصوبہ
strategy,حکمت عملی
success,کامیابی
progress,ترقی
development,ترقی
growth,نشوونما
decline,زوال
fall,گرنا
rise,اٹھنا
fly,اڑنا
swim,تیرنا
run,دوڑنا
walk,چلنا
jump,کودنا
crawl,رینگنا
climb,چڑھنا
fall,گرنا
slip,پھسلنا
slide,پھسلنا
roll,گھومنا
spin,گھومنا
turn,مڑنا
stop,رکنا
start,شुरू کرنا
begin,شروع کرنا
end,ختم کرنا
finish,ختم کرنا
complete,مکمل کرنا
continue,جاری رکھنا
pause,وقفہ دینا
wait,انتظار کرنا
delay,تاخیر کرنا
hurry,جلدی کرنا
fast,تیز
quick,جلدی
rapid,تیز
swift,تیز
slow,آہستہ
gradual,تدریجی
sudden,چانک
instant,فوری
early,جلدی
late,دیر
punctual,پابند وقت
busy,مصروف
free,آزاد
idle,بےکار
lazy,سست
active,چست
energetic,پرجوش
tired,تھکا ہوا
exhausted,تھکا ہوا
sleepy,نیند میں
awake,جاگتا ہوا
alive,زندہ
dead,مردہ
born,پیدا ہوا
grow,بڑھنا
mature,بالغ
aging,بڑھاپا
young,جوان
old,بوڑھا
new,نیا
fresh,تازہ
stale,باسی
clean,صاف
dirty,گندا
pure,خالص
polluted,آلودہ
clear,صاف
cloudy,ابہر آلود
bright,روشن
dim,دھندلا
shiny,چمکدار
dull,دھندلا
smooth,ہموار
rough,کھردرا
soft,نرم
hard,سخت
firm,مضبوط
flexible,لچکدار
rigid,سخت
heavy,بھاری
light,ہلکا
thick,موٹا
thin,पतला
wide,چوڑا
narrow,تنگ
deep,گہرا
shallow,کم گہرا
long,لمبا
short,چھوٹا
tall,اونچا
high,اونچا
low,نیچا
near,قریب
far,دور
distant,دور
close,قریب
adjacent,متصل
straight,سیدھا
crooked,ٹیڑھا
bent,مڑا ہوا
curved,خمیدہ
flat,فلیٹ
steep,ڈھلواں
vertical,عمودی
horizontal,افقی
parallel,متوازي
perpendicular,عمود
